"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-2-26","287.20","297.40","297.40","285.40","12.41M","-1.24%"
"2024-2-23","290.80","290.00","296.40","287.00","13.23M","-0.21%"
"2024-2-22","291.40","288.20","291.40","286.80","12.44M","0.90%"
"2024-2-21","288.80","280.80","294.60","280.80","23.95M","1.62%"
"2024-2-20","284.20","287.00","287.80","280.40","15.77M","-0.21%"
"2024-2-19","284.80","291.40","291.40","283.80","15.42M","-2.40%"
"2024-2-16","291.80","285.60","291.80","280.40","17.22M","2.24%"
"2024-2-15","285.40","288.60","290.00","285.00","12.57M","-1.59%"
"2024-2-14","290.00","287.00","291.20","282.00","11.57M","0.97%"
"2024-2-9","287.20","284.60","287.40","281.40","6.73M","0.00%"
"2024-2-8","287.20","290.00","293.20","286.40","17.91M","-1.71%"
"2024-2-7","292.20","295.00","297.00","288.80","26.34M","0.48%"
"2024-2-6","290.80","279.80","292.60","279.60","28.86M","4.01%"
"2024-2-5","279.60","278.40","283.40","273.80","20.46M","0.07%"
"2024-2-2","279.40","284.60","287.60","275.00","31.05M","2.87%"
"2024-2-1","271.60","270.00","277.80","268.00","17.33M","0.37%"
"2024-1-31","270.60","273.80","278.00","268.40","20.05M","-1.17%"
"2024-1-30","273.80","277.20","280.00","273.00","21.51M","-2.91%"
"2024-1-29","282.00","286.00","288.40","279.40","20.16M","-0.28%"
